job_link,job_title,job_role_mapped,human_centred_index,task_repetition_level,automation_risk_score,job_growth_rate,domain_level,ai_dependency,data_source,high_domain,high_ai,skill_group
https://au.linkedin.com/jobs/view/casual-assistant-educator-community-kids-heatley-at-g8-education-ltd-3702948299,Casual Assistant Educator | Community Kids Heatley,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/casual-assistant-educator-greenwood-scoresby-at-g8-education-ltd-3741683498,Casual Assistant Educator | Greenwood Scoresby,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/casual-assistant-educator-templestowe-world-of-learning-at-g8-education-ltd-3780842350,Casual Assistant Educator | Templestowe World of Learning,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/casual-chef-de-partie-%E2%80%93-events-kitchen-at-park-hyatt-3798090399,Casual Chef de Partie – Events Kitchen,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/casual-event-labourer-pt-at-show-support-3804304714,Casual Event Labourer (PT),,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/centre-manager-at-jll-3760939042,Centre Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/chair-professor-at-search-talent-3740011353,Chair Professor,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/change-analyst-group-risk-at-jobs-via-efinancialcareers-3796908949,"Change Analyst, Group Risk",,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/change-manager-at-experis-australia-3797572084,Change Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/change-manager-at-robert-walters-3797370630,Change Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/chef-at-ventia-3774766457,Chef,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/chef-cook-at-traverse-alpine-group-3738564146,Chef/Cook,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/chef-de-cuisine-arakawa-japanese-restaurant-at-racv-3783350039,Chef De Cuisine - Arakawa Japanese Restaurant,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/chef-de-partie-at-albatross-bay-resort-3802179485,Chef De Partie,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/chef-de-partie-at-moxy-hotels-3780025871,Chef de Partie,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/chef-de-partie-brighton-beach-hotel-at-alh-hotels-3779952524,Chef De Partie - Brighton Beach Hotel,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/chef-mac-perm-or-casual-at-anglican-care-3794992045,Chef-MAC-Perm or Casual,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/child-health-nurse-northern-territory-permanent-or-contract-at-curis-recruitment-3799471718,Child Health Nurse | Northern Territory | Permanent or Contract,Nurse,0.5340248455058673,0.6697230078311506,0.8580401662109294,-0.0880974656107354,0.8471913858709184,0.8093932512183493,job_level,,,
https://au.linkedin.com/jobs/view/children-s-residential-support-worker-at-sanctuary-personnel-3775156993,Children's Residential Support Worker,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/civil-senior-project-manager-at-roussos-recruitment-3785001022,Civil - Senior Project Manager,,,,,,,,job_level,,,
